variant,pinn_weight,tree_weight,tcn_family_weight,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,n_folds
pinn0.25_tree0.05_tcn0.70,0.25,0.05,0.7,0.6268982177946283,0.13319226467454903,0.38698870026380566,0.6168110787314345,0.010217322284481255,3
pinn0.55_tree0.15_tcn0.30,0.55,0.15000000000000002,0.29999999999999993,0.6268936034527949,0.13198053575229005,0.3857677426578798,0.6178420687511038,0.008069468887787427,3
pinn0.55_tree0.20_tcn0.25,0.55,0.2,0.24999999999999994,0.6268480863853177,0.13144581617062032,0.38514198894125573,0.6177210897626337,0.008035222210340502,3
pinn0.20_tree0.80_tcn0.00,0.2,0.8,0.0,0.626831595839649,0.1273568841382851,0.3810200758175834,0.6096167500725939,0.015489887262587357,3
pinn0.15_tree0.85_tcn0.00,0.15000000000000002,0.8500000000000001,0.0,0.6267873425120702,0.12737482173193604,0.3809495067560766,0.6091741795706257,0.016027335245803395,3
pinn0.50_tree0.05_tcn0.45,0.5,0.05,0.45,0.6267582727094273,0.13303096898454905,0.38654751440340357,0.6179577814172635,0.008380056015209152,3
pinn0.55_tree0.40_tcn0.05,0.55,0.4,0.04999999999999993,0.626646159892302,0.13039385993948396,0.38368617972408775,0.6146635325718769,0.010444162774271308,3
pinn0.55_tree0.10_tcn0.35,0.55,0.1,0.35,0.6266278259349918,0.13262423216049998,0.38587988403048357,0.6181166175469929,0.007905732187955318,3
pinn0.35_tree0.00_tcn0.65,0.35000000000000003,0.0,0.6499999999999999,0.6265987984280095,0.13382463264347919,0.3870222294994981,0.6170138798971541,0.009605302745858567,3
pinn0.10_tree0.10_tcn0.80,0.1,0.1,0.8,0.6265331881139762,0.13352984159762032,0.38659621782557285,0.61680360719183,0.009302607294987449,3
pinn0.05_tree0.90_tcn0.05,0.05,0.9,0.04999999999999993,0.6265241232736148,0.12723014974291913,0.3802783962901488,0.6090470290698876,0.016165889159477375,3
pinn0.40_tree0.00_tcn0.60,0.4,0.0,0.6,0.6265145870743005,0.13374205811903372,0.3867712322676347,0.6171168691162738,0.009186327882086386,3
pinn0.55_tree0.05_tcn0.40,0.55,0.05,0.39999999999999997,0.6263739525655417,0.1333765234402979,0.3861244285713814,0.6180833311983324,0.007796773173565381,3
pinn0.00_tree0.20_tcn0.80,0.0,0.2,0.8,0.6263690457829497,0.1326243323021116,0.38536242386801095,0.6158245880820367,0.009590199040278743,3
pinn0.55_tree0.45_tcn0.00,0.55,0.45,0.0,0.6262891273780946,0.1304029075041781,0.3829811622603673,0.6135690385454842,0.01116431003722294,3
pinn0.20_tree0.05_tcn0.75,0.2,0.05,0.75,0.6262473897321132,0.1336092778850956,0.3861040573493221,0.6170444848044214,0.0095194553463614,3
pinn0.60_tree0.30_tcn0.10,0.6000000000000001,0.30000000000000004,0.09999999999999987,0.6262209453023284,0.1314529722480672,0.3838948628527239,0.6160219757914365,0.008850292932871009,3
pinn0.05_tree0.15_tcn0.80,0.05,0.15000000000000002,0.7999999999999999,0.6262124734077881,0.1330251848866808,0.385450131702257,0.6156728880891921,0.009802838937789523,3
