variant,pred_year,group,score,nmae,ficr,n_rows,pinn_weight,tree_weight,tcn_family_weight
pinn0.70_tree0.25_tcn0.05,2023,kpx_group_3,0.5795692592553551,0.15355783544724155,0.31269635395795164,8759,0.7000000000000001,0.25,0.04999999999999993
pinn0.70_tree0.25_tcn0.05,2023,fold_mean,0.6136702188742649,0.1404039714932622,0.3677444092417917,26274,0.7000000000000001,0.25,0.04999999999999993
pinn0.70_tree0.25_tcn0.05,2024,kpx_group_1,0.6239431943582149,0.11654256279295289,0.36442895150938254,8778,0.7000000000000001,0.25,0.04999999999999993
pinn0.70_tree0.25_tcn0.05,2024,kpx_group_2,0.6551550751932704,0.13206326782193764,0.4423734182084786,8778,0.7000000000000001,0.25,0.04999999999999993
pinn0.70_tree0.25_tcn0.05,2024,kpx_group_3,0.6022771817146326,0.1323683478613784,0.3369227112906438,8778,0.7000000000000001,0.25,0.04999999999999993
pinn0.70_tree0.25_tcn0.05,2024,fold_mean,0.6271251504220393,0.12699139282542296,0.3812416936695016,26334,0.7000000000000001,0.25,0.04999999999999993
pinn0.70_tree0.30_tcn0.00,2022,kpx_group_1,0.6179213643596537,0.13027253003966152,0.3661152587589691,8664,0.7000000000000001,0.30000000000000004,0.0
pinn0.70_tree0.30_tcn0.00,2022,kpx_group_2,0.6419968331255027,0.13484098988931303,0.4188346561403184,8664,0.7000000000000001,0.30000000000000004,0.0
pinn0.70_tree0.30_tcn0.00,2022,fold_mean,0.6299590987425783,0.1325567599644873,0.3924749574496438,17328,0.7000000000000001,0.30000000000000004,0.0
pinn0.70_tree0.30_tcn0.00,2023,kpx_group_1,0.6029882031979235,0.13115604382965118,0.33713245022549804,8757,0.7000000000000001,0.30000000000000004,0.0
pinn0.70_tree0.30_tcn0.00,2023,kpx_group_2,0.6553553440276018,0.13611079741426924,0.4468214854694727,8758,0.7000000000000001,0.30000000000000004,0.0
pinn0.70_tree0.30_tcn0.00,2023,kpx_group_3,0.5800055585862952,0.1534424060339206,0.31345352320651093,8759,0.7000000000000001,0.30000000000000004,0.0
pinn0.70_tree0.30_tcn0.00,2023,fold_mean,0.6127830352706068,0.14023641575928034,0.3658024863004939,26274,0.7000000000000001,0.30000000000000004,0.0
